,VPI_ID,VPI_label_V3,VPI_label_V4,VPI_name,Taxo_high,Fxnl_high,Fxnl_low
0,-1,,,,,,
1,0,Review,Review,Review,,,
2,1,A_agaric,A_aga,Agaricia_agaricites,Agariciidae,Hard_coral,Hard_coral
3,2,A_fragil,A_fra,Agaricia_fragilis,Agariciidae,Hard_coral,Hard_coral
4,3,A_graham,A_gra,Agaricia_grahamae,Agariciidae,Hard_coral,Hard_coral
5,4,A_humili,A_hum,Agaricia_humilis,Agariciidae,Hard_coral,Hard_coral
6,5,A_lamarc,A_lam,Agaricia_lamarcki,Agariciidae,Hard_coral,Hard_coral
7,6,A_tenui,A_ten,Agaricia_tenuifolia,Agariciidae,Hard_coral,Hard_coral
8,7,A_undata,A_und,Agaricia_undata,Agariciidae,Hard_coral,Hard_coral
9,8,Ascidian,Ascidian,Ascidians,Ascidian,Ascidian,Invertebrates
10,9,Basalt,Basalt,Basalt,Basalt,Non_biological,Substrate
11,10,Bivalve,Bivalve,Bivalve,Bivalve,Invertebrates,Invertebrates
12,11,Black_coral,Black_coral,Black_coral,Black_coral,Invertebrates,Invertebrates
13,12,Cladocora,C_arb,Cladocora_arbuscula,Oculinidae,Hard_coral,Hard_coral
14,13,Colpo_brev,C_bre,Colpophyllia_breviserialis,Faviidae,Hard_coral,Hard_coral
15,14,Colpo_sp,Colpophyllia_sp,Colpophyllia_sp,Faviidae,Hard_coral,Hard_coral
16,15,Erythropodium,Erythropodium,Erythropodium,Erythropodium,Soft_coral,Soft_coral
17,16,Eunicea,Eunicea,Eunicea,Eunicea,Soft_coral,Soft_coral
18,17,Fine_sediment,Fine_sediment,Fine_sediment,Sediment,Non_biological,Substrate
19,18,Green_Diploso,Green_diploso,Green_Diplosoma,Tunicata,Invertebrates,Invertebrates
20,19,Hydrozoan,Hydrozoan,Other_hydrozoans,Milleporidae,Invertebrates,Invertebrates
21,20,Icilligorgia,Icilligorgia,Icilligorgia,Octocoral,Soft_coral,Soft_coral
