,Label_ID,Label_URL,Name,Short_Code,Functional_Group
0,59,https://coralnet.ucsd.edu/label/59/,Acropora,Acrop,Hard coral
1,60,https://coralnet.ucsd.edu/label/60/,Astreopora,Astreo,Hard coral
2,61,https://coralnet.ucsd.edu/label/61/,Cyphastrea,Cypha,Hard coral
3,4709,https://coralnet.ucsd.edu/label/4709/,Favia,Favia,Hard coral
4,63,https://coralnet.ucsd.edu/label/63/,Fungia,Fung,Hard coral
5,64,https://coralnet.ucsd.edu/label/64/,Gardineroseris,Gardin,Hard coral
6,65,https://coralnet.ucsd.edu/label/65/,Herpolitha,Herpo,Hard coral
7,66,https://coralnet.ucsd.edu/label/66/,Leptastrea,Lepta,Hard coral
8,69,https://coralnet.ucsd.edu/label/69/,Montastraea,Monta,Hard coral
9,70,https://coralnet.ucsd.edu/label/70/,Montipora,Monti,Hard coral
10,72,https://coralnet.ucsd.edu/label/72/,Pavona,Pavon,Hard coral
11,73,https://coralnet.ucsd.edu/label/73/,Pocillopora,Pocill,Hard coral
12,74,https://coralnet.ucsd.edu/label/74/,Porites,Porit,Hard coral
13,79,https://coralnet.ucsd.edu/label/79/,Millepora,Mille,Other Invertebrates
14,80,https://coralnet.ucsd.edu/label/80/,Soft Coral,Soft,Other Invertebrates
15,84,https://coralnet.ucsd.edu/label/84/,Sand,Sand,Soft Substrate
16,85,https://coralnet.ucsd.edu/label/85/,Off,Off,Other
17,101,https://coralnet.ucsd.edu/label/101/,CCA (crustose coralline algae),CCA,Algae
18,81,https://coralnet.ucsd.edu/label/81/,Macroalgae,Macro,Algae
19,82,https://coralnet.ucsd.edu/label/82/,Turf algae,Turf,Algae
