,Source_ID,Source_Name,Source_URL
0,4085,0-5meters,https://coralnet.ucsd.edu/source/4085/
1,2733,10m E R2,https://coralnet.ucsd.edu/source/2733/
2,2781,10m W B2,https://coralnet.ucsd.edu/source/2781/
3,2120,2002,https://coralnet.ucsd.edu/source/2120/
4,1940,2016,https://coralnet.ucsd.edu/source/1940/
5,1076,"2018 Group 2 (Becca, Mike, Errika)",https://coralnet.ucsd.edu/source/1076/
6,1073,"2018 Group 4 (Isaac, Kyle, Breno)",https://coralnet.ucsd.edu/source/1073/
7,2030,2020 Barbers Point,https://coralnet.ucsd.edu/source/2030/
8,2052,2020 XLC algae/coral cover,https://coralnet.ucsd.edu/source/2052/
9,3508,2021 - BNP Ofav Outplant Project,https://coralnet.ucsd.edu/source/3508/
10,3787,2023_TA_TEST,https://coralnet.ucsd.edu/source/3787/
11,3551,2Maldives_2Katie,https://coralnet.ucsd.edu/source/3551/
12,3839,319-MatthewTuckMaui2015,https://coralnet.ucsd.edu/source/3839/
13,3803,319_TZ_MW_EF,https://coralnet.ucsd.edu/source/3803/
14,3894,319_TZ_MW_EF_far,https://coralnet.ucsd.edu/source/3894/
15,1686,3Cs38,https://coralnet.ucsd.edu/source/1686/
16,3008,3seas41 TME Kaneohe Group 1,https://coralnet.ucsd.edu/source/3008/
17,1990,403 He'eia Restoration,https://coralnet.ucsd.edu/source/1990/
18,2682,403 Heʻeia Restoration '21,https://coralnet.ucsd.edu/source/2682/
19,4021,40mile_10m,https://coralnet.ucsd.edu/source/4021/
20,4022,40mile_15m,https://coralnet.ucsd.edu/source/4022/
21,4020,40mile_5m,https://coralnet.ucsd.edu/source/4020/
22,4084,5-10m,https://coralnet.ucsd.edu/source/4084/
23,2803,56PointsAlgae,https://coralnet.ucsd.edu/source/2803/
24,2747,5m E R1,https://coralnet.ucsd.edu/source/2747/
25,466,5 Mile Seasonal Study,https://coralnet.ucsd.edu/source/466/
26,2779,5m W B1,https://coralnet.ucsd.edu/source/2779/
27,2780,9001CB,https://coralnet.ucsd.edu/source/2780/
28,3719,Adjacent Project,https://coralnet.ucsd.edu/source/3719/
29,4097,Adrien,https://coralnet.ucsd.edu/source/4097/
30,3299,AFCD trial,https://coralnet.ucsd.edu/source/3299/
31,3305,AFCD trial species,https://coralnet.ucsd.edu/source/3305/
32,4029,Ahmed Fizal,https://coralnet.ucsd.edu/source/4029/
33,1653,aimi cp,https://coralnet.ucsd.edu/source/1653/
34,290,AIMS LTMP,https://coralnet.ucsd.edu/source/290/
35,3533,alcatrazes,https://coralnet.ucsd.edu/source/3533/
36,3530,Alcatrazes [Training IB-USP],https://coralnet.ucsd.edu/source/3530/
37,3836,"Alex, Victor, Emma - MPA",https://coralnet.ucsd.edu/source/3836/
38,3841,"Alex, Victor, Emma - non MPA",https://coralnet.ucsd.edu/source/3841/
39,2070,Algal composition in Michmoret,https://coralnet.ucsd.edu/source/2070/
40,2315,Algal composition Michmoret,https://coralnet.ucsd.edu/source/2315/
41,1368,Algal Distributions/Diversity KBay,https://coralnet.ucsd.edu/source/1368/
42,3492,Alice Pomettini,https://coralnet.ucsd.edu/source/3492/
43,3249,Altieri Biscayne Bay,https://coralnet.ucsd.edu/source/3249/
44,2246,Alveopora japonica,https://coralnet.ucsd.edu/source/2246/
45,3481,Anastasia Addicoat-White,https://coralnet.ucsd.edu/source/3481/
46,2278,Andreas,https://coralnet.ucsd.edu/source/2278/
47,2127,Andreas Muljadi,https://coralnet.ucsd.edu/source/2127/
48,3560,Andrej Fucak,https://coralnet.ucsd.edu/source/3560/
49,3843,Anguilla 25019_201311,https://coralnet.ucsd.edu/source/3843/
50,3493,Anita Casati,https://coralnet.ucsd.edu/source/3493/
51,1821,Annotation2,https://coralnet.ucsd.edu/source/1821/
52,1822,Annotation3,https://coralnet.ucsd.edu/source/1822/
53,3424,Ant,https://coralnet.ucsd.edu/source/3424/
54,3412,Antigua_weird,https://coralnet.ucsd.edu/source/3412/
55,2911,APN Project,https://coralnet.ucsd.edu/source/2911/
56,2820,Ardis_Ayla_Katie,https://coralnet.ucsd.edu/source/2820/
57,3461,ARMS São Paulo 2022,https://coralnet.ucsd.edu/source/3461/
58,3765,ArthurAug22,https://coralnet.ucsd.edu/source/3765/
59,2238,Ashqelon 10 m,https://coralnet.ucsd.edu/source/2238/
60,2720,"Aukane Reef, Torres Strait",https://coralnet.ucsd.edu/source/2720/
61,3792,AW_Biol319_B02,https://coralnet.ucsd.edu/source/3792/
62,3816,BarrierL1,https://coralnet.ucsd.edu/source/3816/
63,3818,BelizeBarrierL1,https://coralnet.ucsd.edu/source/3818/
64,1277,Ben Neal,https://coralnet.ucsd.edu/source/1277/
65,2614,Benthic foramifera associated with seagrass H. stipulacea,https://coralnet.ucsd.edu/source/2614/
66,2687,bevtest,https://coralnet.ucsd.edu/source/2687/
67,2955,BHP GSR Fiji,https://coralnet.ucsd.edu/source/2955/
68,4027,Bidong HW May 2023,https://coralnet.ucsd.edu/source/4027/
69,3204,BIO 373,https://coralnet.ucsd.edu/source/3204/
70,3383,BIO 403,https://coralnet.ucsd.edu/source/3383/
71,3396,BIO403 Green Group,https://coralnet.ucsd.edu/source/3396/
72,1440,Bioblits,https://coralnet.ucsd.edu/source/1440/
73,3949,Biofouling,https://coralnet.ucsd.edu/source/3949/
74,2731,BIOL2022 4,https://coralnet.ucsd.edu/source/2731/
75,2764,BIOL2024,https://coralnet.ucsd.edu/source/2764/
76,3831,BIOL_319_Beauchamp_Danger,https://coralnet.ucsd.edu/source/3831/
77,3076,BIOL 319_BELW,https://coralnet.ucsd.edu/source/3076/
78,3795,BIOL -319-MW-EF-TZ,https://coralnet.ucsd.edu/source/3795/
79,3793,BIOL 319-MW-EF-TZ,https://coralnet.ucsd.edu/source/3793/
80,3796,BIOL 319-MW-EF-TZ-,https://coralnet.ucsd.edu/source/3796/
81,3882,BIOL319_Vander,https://coralnet.ucsd.edu/source/3882/
82,3891,Biol319_Weston,https://coralnet.ucsd.edu/source/3891/
83,3004,BIOL 4950,https://coralnet.ucsd.edu/source/3004/
84,2678,BIOS Mosaics,https://coralnet.ucsd.edu/source/2678/
85,3692,Bira benthic survey,https://coralnet.ucsd.edu/source/3692/
86,3075,Bmoo,https://coralnet.ucsd.edu/source/3075/
87,3077,bmoo2,https://coralnet.ucsd.edu/source/3077/
88,3089,BM/SA_319,https://coralnet.ucsd.edu/source/3089/
89,2847,BOCASMELC,https://coralnet.ucsd.edu/source/2847/
90,2074,Bottoms of ARMS,https://coralnet.ucsd.edu/source/2074/
91,683,BREAM Recruit2,https://coralnet.ucsd.edu/source/683/
92,3489,Breanna Preston,https://coralnet.ucsd.edu/source/3489/
93,3173,Brooke_319_coral_maui,https://coralnet.ucsd.edu/source/3173/
94,2837,BunakenIsland_2021,https://coralnet.ucsd.edu/source/2837/
95,1981,Cabritte_Point_3m_100818_Transect_1,https://coralnet.ucsd.edu/source/1981/
96,3085,Caitlin Mariano Caye Caulker,https://coralnet.ucsd.edu/source/3085/
97,3082,Caitlin Mariano Turneffe reef,https://coralnet.ucsd.edu/source/3082/
98,2544,"Calabash Bight Port Royal, Roatan",https://coralnet.ucsd.edu/source/2544/
99,665,Caleritas,https://coralnet.ucsd.edu/source/665/
100,3269,Camryn Dunekack,https://coralnet.ucsd.edu/source/3269/
101,2055,Cape Maeda2020,https://coralnet.ucsd.edu/source/2055/
102,2759,Cape Maeda2021,https://coralnet.ucsd.edu/source/2759/
103,3172,Capstone 2022,https://coralnet.ucsd.edu/source/3172/
104,3704,Capstone 2023,https://coralnet.ucsd.edu/source/3704/
105,3363,carib,https://coralnet.ucsd.edu/source/3363/
106,3552,carib_bbb5,https://coralnet.ucsd.edu/source/3552/
107,3465,Caribbean bitbybit 2,https://coralnet.ucsd.edu/source/3465/
108,3446,carib_bitbybit,https://coralnet.ucsd.edu/source/3446/
109,3444,carib_colpophyllia,https://coralnet.ucsd.edu/source/3444/
110,3443,carib_diploria,https://coralnet.ucsd.edu/source/3443/
111,3442,carib_montastrea,https://coralnet.ucsd.edu/source/3442/
112,3441,carib_orbicella,https://coralnet.ucsd.edu/source/3441/
