1,VPI_ID,VPI_label_V3,VPI_label_V4,VPI_name,Taxo_high,Fxnl_high,Fxnl_low,Name,Short Code,Functional Group,Label ID
2,1,A_agaric,A_aga,Agaricia_agaricites,Agariciidae,Hard_coral,Hard_coral,Agaricia agaricites,AgAga,Hard coral,1357
3,2,A_fragil,A_fra,Agaricia_fragilis,Agariciidae,Hard_coral,Hard_coral,Agaricia fragilis,AgFra,Hard coral,1358
4,3,A_graham,A_gra,Agaricia_grahamae,Agariciidae,Hard_coral,Hard_coral,Agaricia grahamae,AgGra,Hard coral,1359
5,4,A_humili,A_hum,Agaricia_humilis,Agariciidae,Hard_coral,Hard_coral,Agaricia humilis,AgHum,Hard coral,1188
6,5,A_lamarc,A_lam,Agaricia_lamarcki,Agariciidae,Hard_coral,Hard_coral,Agaricia lamarcki,AgLam,Hard coral,1360
7,6,A_tenui,A_ten,Agaricia_tenuifolia,Agariciidae,Hard_coral,Hard_coral,Agaricia tenuifolia,AgTen,Hard coral,1766
8,7,A_undata,A_und,Agaricia_undata,Agariciidae,Hard_coral,Hard_coral,Agaricia undata,AgUnd,Hard coral,1770
9,8,Ascidian,Ascidian,Ascidians,Ascidian,Ascidian,Invertebrates,Ascidians,Ascidians,Other Invertebrates,4762
10,9,Basalt,Basalt,Basalt,Basalt,Non_biological,Substrate,Basalt,Basalt,Hard Substrate,2218
11,10,Bivalve,Bivalve,Bivalve,Bivalve,Invertebrates,Invertebrates,Bivalve,Bivalve,Other Invertebrates,1829
12,11,Black_coral,Black_coral,Black_coral,Black_coral,Invertebrates,Invertebrates,CRED-Wire and black coral,*ANTI,Other Invertebrates,3507
13,12,Cladocora,C_arb,Cladocora_arbuscula,Oculinidae,Hard_coral,Hard_coral,Cladocora arbuscula,ClaArb,Hard coral,1361
14,13,Colpo_brev,C_bre,Colpophyllia_breviserialis,Faviidae,Hard_coral,Hard_coral,Colpophyllia breviserialis,COB,Hard coral,1771
15,14,Colpo_sp,Colpophyllia_sp,Colpophyllia_sp,Faviidae,Hard_coral,Hard_coral,Colpophylia,colpo,Hard coral,6913
