                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65338,                0.90375,                      1,                0.86509,             0.00023679,             0.00023679,             0.00023679
                      2,                  0.257,                0.92918,                      1,                 0.8346,             0.00045598,             0.00045598,             0.00045598
                      3,                 0.2294,                0.91465,                      1,                0.84253,             0.00065633,             0.00065633,             0.00065633
                      4,                0.21801,                0.90738,                      1,                0.84086,             0.00062918,             0.00062918,             0.00062918
                      5,                0.18944,                0.93039,                      1,                0.82895,              0.0006009,              0.0006009,              0.0006009
                      6,                0.18327,                0.93039,                      1,                0.82431,             0.00057263,             0.00057263,             0.00057263
                      7,                0.16703,                0.92736,                      1,                0.82594,             0.00054435,             0.00054435,             0.00054435
                      8,                0.16952,                0.92554,                      1,                0.82562,             0.00051608,             0.00051608,             0.00051608
                      9,                0.16111,                0.92615,                      1,                 0.8243,              0.0004878,              0.0004878,              0.0004878
                     10,                0.14691,                0.92918,                      1,                0.82288,             0.00045953,             0.00045953,             0.00045953
                     11,                0.14238,                0.92797,                      1,                0.82006,             0.00043126,             0.00043126,             0.00043126
                     12,                0.13629,                 0.9322,                      1,                0.81698,             0.00040298,             0.00040298,             0.00040298
                     13,                 0.1393,                0.93523,                      1,                0.81803,             0.00037471,             0.00037471,             0.00037471
                     14,                0.12211,                0.93281,                      1,                0.81917,             0.00034643,             0.00034643,             0.00034643
                     15,                0.12709,                0.93584,                      1,                0.81794,             0.00031816,             0.00031816,             0.00031816
                     16,                0.11862,                0.93402,                      1,                 0.8162,             0.00028988,             0.00028988,             0.00028988
                     17,                0.11724,                0.93765,                      1,                0.81502,             0.00026161,             0.00026161,             0.00026161
                     18,                0.11239,                0.93281,                      1,                0.81798,             0.00023334,             0.00023334,             0.00023334
                     19,                0.10528,                0.93341,                      1,                0.81678,             0.00020506,             0.00020506,             0.00020506
                     20,                0.10582,                0.92978,                      1,                0.81847,             0.00017679,             0.00017679,             0.00017679
                     21,                0.10508,                0.93584,                      1,                0.81553,             0.00014851,             0.00014851,             0.00014851
                     22,                0.09534,                0.93462,                      1,                0.81462,             0.00012024,             0.00012024,             0.00012024
                     23,                0.09937,                 0.9316,                      1,                0.81505,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                 0.0991,                0.93644,                      1,                0.81407,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     25,                0.09793,                0.93281,                      1,                0.81534,             3.5414e-05,             3.5414e-05,             3.5414e-05
