,Name,URL
0,51_arborescent_hard_coral,https://coralnet.ucsd.edu/label/3743/
1,51_bushy_hard_coral,https://coralnet.ucsd.edu/label/3744/
2,51_columnar_hard_coral,https://coralnet.ucsd.edu/label/3745/
3,51_encrusting_hard_coral,https://coralnet.ucsd.edu/label/3746/
4,51_foliose_hard_coral,https://coralnet.ucsd.edu/label/3747/
5,51_massive_hard_coral,https://coralnet.ucsd.edu/label/3748/
6,51_tabular_hard_coral,https://coralnet.ucsd.edu/label/3749/
7,51_unattached_hard_coral,https://coralnet.ucsd.edu/label/3750/
8,Acanthastrea,https://coralnet.ucsd.edu/label/58/
9,Acanthastrea Bleached,https://coralnet.ucsd.edu/label/5891/
10,Acanthastrea brevis,https://coralnet.ucsd.edu/label/6473/
11,Acanthastrea Dead,https://coralnet.ucsd.edu/label/5892/
12,Acanthastrea echinata,https://coralnet.ucsd.edu/label/1583/
13,Acanthastrea (encrusting),https://coralnet.ucsd.edu/label/4953/
14,Acanthastrea Healthy,https://coralnet.ucsd.edu/label/5889/
15,Acanthastrea hemprichii,https://coralnet.ucsd.edu/label/2378/
16,Acanthastrea hillae,https://coralnet.ucsd.edu/label/6474/
17,Acanthastrea (massive),https://coralnet.ucsd.edu/label/4954/
18,Acanthastrea maxima,https://coralnet.ucsd.edu/label/1584/
19,Acanthastrea minuta,https://coralnet.ucsd.edu/label/6475/
20,Acanthastrea pachysepta,https://coralnet.ucsd.edu/label/6476/
21,Acanthastrea Paling,https://coralnet.ucsd.edu/label/5890/
22,Acanthastrea subechinata,https://coralnet.ucsd.edu/label/6477/
23,Acervicornis,https://coralnet.ucsd.edu/label/376/
24,acropERROR,https://coralnet.ucsd.edu/label/4952/
25,Acropora,https://coralnet.ucsd.edu/label/59/
26,Acropora abrolhosensis,https://coralnet.ucsd.edu/label/6282/
27,Acropora abrotanoides,https://coralnet.ucsd.edu/label/5729/
28,Acropora abrotanoides/robusta,https://coralnet.ucsd.edu/label/5421/
29,Acropora abrotanoides/robusta_bleached,https://coralnet.ucsd.edu/label/5246/
30,Acropora aculeus,https://coralnet.ucsd.edu/label/4505/
31,Acropora acuminata,https://coralnet.ucsd.edu/label/6276/
32,Acropora anthocercis,https://coralnet.ucsd.edu/label/6289/
33,Acropora arabensis,https://coralnet.ucsd.edu/label/1547/
34,Acropora (arborescent),https://coralnet.ucsd.edu/label/600/
35,Acropora_arborescent,https://coralnet.ucsd.edu/label/4924/
36,Acropora (arborescent table),https://coralnet.ucsd.edu/label/603/
37,Acropora aspera,https://coralnet.ucsd.edu/label/6283/
38,Acropora austera,https://coralnet.ucsd.edu/label/4507/
39,Acropora azurea,https://coralnet.ucsd.edu/label/4474/
40,Acropora branching,https://coralnet.ucsd.edu/label/5489/
41,Acropora (branching),https://coralnet.ucsd.edu/label/204/
42,Acropora Branching Bleached,https://coralnet.ucsd.edu/label/5879/
43,Acropora_branching_closed,https://coralnet.ucsd.edu/label/6921/
44,Acropora Branching Dead,https://coralnet.ucsd.edu/label/5880/
45,Acropora Branching Healthy,https://coralnet.ucsd.edu/label/5877/
46,Acropora_branching_open,https://coralnet.ucsd.edu/label/6922/
47,Acropora branching (pale),https://coralnet.ucsd.edu/label/4586/
48,Acropora Branching Paling,https://coralnet.ucsd.edu/label/5878/
49,Acropora Brancing,https://coralnet.ucsd.edu/label/3361/
50,Acropora (bushy),https://coralnet.ucsd.edu/label/4960/
51,Acropora bushyensis,https://coralnet.ucsd.edu/label/6280/
52,Acropora (caespitose),https://coralnet.ucsd.edu/label/2059/
53,Acropora carduus,https://coralnet.ucsd.edu/label/6303/
54,Acropora cerealis,https://coralnet.ucsd.edu/label/5759/
