,Name,URL,Functional_Group,Popularity %,Short_Code,Duplicate,Duplicate Notes,Verified,Has_Calcification_Rates
0,51_arborescent_hard_coral,https://coralnet.ucsd.edu/label/3743/,Hard coral,40,HCA,True,Duplicate of Hard Coral (arborescent),False,False
1,51_bushy_hard_coral,https://coralnet.ucsd.edu/label/3744/,Hard coral,49,HCBu,True,Duplicate of Hard Coral (bushy),False,False
2,51_columnar_hard_coral,https://coralnet.ucsd.edu/label/3745/,Hard coral,47,HCCo,True,Duplicate of Hard Coral (columnar),False,False
3,51_encrusting_hard_coral,https://coralnet.ucsd.edu/label/3746/,Hard coral,54,HCEn,True,Duplicate of Hard Coral (encrusting),False,False
4,51_foliose_hard_coral,https://coralnet.ucsd.edu/label/3747/,Hard coral,45,HCFo,True,Duplicate of Hard Coral (foliose),False,False
5,51_massive_hard_coral,https://coralnet.ucsd.edu/label/3748/,Hard coral,52,HCMa,True,Duplicate of Hard Coral (massive),False,False
6,51_tabular_hard_coral,https://coralnet.ucsd.edu/label/3749/,Hard coral,58,HCTa,False,,False,False
7,51_unattached_hard_coral,https://coralnet.ucsd.edu/label/3750/,Hard coral,30,HCUn,True,Duplicate of Hard Coral (free-living),False,False
8,Acanthastrea,https://coralnet.ucsd.edu/label/58/,Hard coral,76,Acanth,False,,True,True
9,Acanthastrea Bleached,https://coralnet.ucsd.edu/label/5891/,Hard coral,50,ACBB,False,,False,False
10,Acanthastrea brevis,https://coralnet.ucsd.edu/label/6473/,Hard coral,18,Acabrevis,False,,False,False
11,Acanthastrea Dead,https://coralnet.ucsd.edu/label/5892/,Hard coral,47,ACDD,False,,False,False
12,Acanthastrea echinata,https://coralnet.ucsd.edu/label/1583/,Hard coral,63,AcanEch,False,,True,False
13,Acanthastrea (encrusting),https://coralnet.ucsd.edu/label/4953/,Hard coral,50,Acan_enc,False,,True,False
14,Acanthastrea Healthy,https://coralnet.ucsd.edu/label/5889/,Hard coral,56,ACH,False,,False,False
15,Acanthastrea hemprichii,https://coralnet.ucsd.edu/label/2378/,Hard coral,23,AcanHem,False,,True,False
16,Acanthastrea hillae,https://coralnet.ucsd.edu/label/6474/,Hard coral,18,Acahillae,False,,False,False
17,Acanthastrea (massive),https://coralnet.ucsd.edu/label/4954/,Hard coral,41,Acan_mas,False,,True,False
18,Acanthastrea maxima,https://coralnet.ucsd.edu/label/1584/,Hard coral,19,AcMax,False,,False,False
19,Acanthastrea minuta,https://coralnet.ucsd.edu/label/6475/,Hard coral,18,Acaminuta,False,,False,False
20,Acanthastrea pachysepta,https://coralnet.ucsd.edu/label/6476/,Hard coral,18,Acapachyse,False,,False,False
21,Acanthastrea Paling,https://coralnet.ucsd.edu/label/5890/,Hard coral,48,ACPP,False,,False,False
22,Acanthastrea subechinata,https://coralnet.ucsd.edu/label/6477/,Hard coral,18,Acasubechi,False,,False,False
23,Acervicornis,https://coralnet.ucsd.edu/label/376/,Hard coral,63,ACER,True,Duplicate of Acropora cervicornis,False,False
