,Source_ID
0,2733
1,2781
2,2120
3,1940
4,1076
5,1073
6,2030
7,2052
8,3508
9,3577
10,3551
11,1686
12,3008
13,1990
14,2682
15,2803
16,2747
17,466
18,2779
19,2780
20,3299
21,3305
22,1653
23,290
24,3533
25,3530
26,2070
27,2315
28,1368
29,3492
30,3249
31,2246
32,3481
33,2278
34,2127
35,3560
36,3493
37,1821
38,1822
39,3424
40,3412
41,2911
42,2820
43,3461
44,2238
45,2720
46,1277
47,2614
48,2687
49,2955
50,3204
51,3383
52,3396
53,1440
54,2731
55,2764
56,3076
57,3004
58,2678
59,3075
60,3077
61,3089
62,2847
63,3549
64,2074
65,683
66,3489
67,3173
68,2837
69,1981
70,3085
71,3082
72,2544
73,665
74,3269
75,2055
76,2759
77,3000
78,3172
79,3363
80,3552
81,3465
82,3446
83,3444
84,3443
85,3442
86,3441
87,3438
88,3439
89,2455
90,2453
91,1718
92,57
93,3479
94,3545
95,3559
96,3091
97,2821
98,1991
99,2903
100,2825
101,1848
102,1514
103,3197
104,1353
105,580
106,1357
107,70
108,69
109,3096
110,2671
111,1695
112,3420
113,2297
114,3060
115,3061
116,3295
117,2971
118,1184
119,1372
120,372
121,1579
122,373
123,1376
124,295
125,1097
126,1288
127,3054
128,616
129,620
130,3414
131,23
132,3284
133,1982
134,3084
135,3111
136,1900
137,3448
138,842
139,697
140,2922
141,3470
142,1767
143,2856
144,3550
145,3171
146,3409
147,1274
148,3068
149,1546
150,3346
151,1432
152,428
153,3336
154,3371
155,747
156,3531
157,3611
158,1356
159,3419
160,2170
161,2172
162,3528
163,1578
164,1519
165,3083
166,299
167,1835
168,3078
169,2371
170,2557
171,3220
172,2822
173,3329
174,2994
175,648
176,2236
177,3653
178,2835
179,2765
180,3099
181,3080
182,1944
183,2886
184,1598
185,2131
186,1986
187,3308
188,3374
189,3377
190,3378
191,3376
192,3373
193,3375
194,3175
195,1745
196,3449
197,3090
198,3100
199,2528
200,1272
201,1773
202,2480
203,450
204,2001
205,2222
206,3536
207,2050
208,3069
209,3087
210,1789
211,3119
212,3121
213,1588
214,2414
215,3485
216,3488
217,2969
218,3191
219,3357
220,307
221,2384
222,2823
223,3079
224,3480
225,1669
226,1270
227,3483
228,2718
229,554
230,3362
231,2672
232,3006
233,3565
234,1271
235,1276
236,2855
237,2871
238,2870
239,2872
240,2873
241,2857
242,3095
243,2836
244,2457
245,3097
246,2088
247,2221
248,1554
249,172
250,173
251,174
252,2324
253,3092
254,3588
255,2829
256,3589
257,3018
258,3135
259,3088
260,2286
261,2456
262,3093
263,3393
264,2263
265,2208
266,2162
267,2824
268,3349
269,1545
270,1776
271,3137
272,3028
273,1268
274,3490
275,3499
276,3583
277,3456
278,2795
279,3401
280,3546
281,3555
282,3573
283,3466
284,3497
285,3416
286,3417
287,3460
288,3421
289,3102
290,3098
291,3273
292,3610
293,3537
294,376
295,793
296,3263
297,2715
298,2860
299,2864
300,2865
301,2862
302,2859
303,2863
304,2861
305,2716
306,2874
307,1749
308,2200
309,3341
310,1895
311,1972
312,2268
313,2048
314,1988
315,1983
316,2897
317,2562
318,2565
319,2064
320,2959
321,3522
322,2898
323,3138
324,2978
325,3500
326,3554
327,3574
328,3015
329,3058
330,3411
331,3467
332,3478
333,3496
334,3576
335,2655
336,1162
337,1189
338,3094
339,3498
340,2701
341,2866
342,2868
343,2867
344,1264
345,258
346,3413
347,2092
348,3205
349,3207
350,3298
351,3418
352,1768
353,2130
354,2159
355,1580
356,1634
357,3572
358,2728
359,2667
360,2960
361,2970
362,2379
363,800
364,2947
365,3494
366,3484
367,1826
368,2800
369,3182
370,2464
371,3519
372,2337
373,3379
374,2374
375,3276
376,3213
377,3257
378,3133
379,3122
380,2498
381,2152
382,2153
383,2044
384,2043
385,843
386,1645
387,2770
388,2707
389,2995
390,3351
391,2762
392,3440
393,2454
394,3606
395,503
396,2782
397,1532
398,3487
399,3491
400,2751
401,2757
402,2211
403,2194
404,1360
405,2274
406,2258
407,3425
408,2138
409,2083
410,2239
411,2938
412,3327
413,1655
414,1987
415,350
416,3241
417,3271
418,1301
419,2895
420,3354
421,2091
422,2124
423,2125
424,1304
425,1294
426,1308
427,2294
428,3468
429,3332
430,1933
431,3032
432,3368
433,3140
434,3103
435,1212
436,2808
437,3569
438,3520
439,3081
440,1273
441,2616
442,2615
443,2282
444,2990
445,2991
446,2084
447,1300
448,3074
449,1725
450,1642
451,1781
452,2882
453,2806
454,3101
455,950
456,1832
457,1831
458,2511
459,1783
460,3406
461,958
462,2190
463,2180
464,2311
465,1771
466,1810
467,1265
468,3177
469,2830
470,3064
471,3086
472,82
473,1556
474,2262
475,3472
476,3120
477,546
478,2673
479,3656
480,3482
481,3475
482,1998
483,2729
484,2799
485,2956
486,2472
487,2817
488,3072
489,2819
490,2818
491,2798
492,3637
493,2914
494,3237
495,3350
496,2307
497,1724
498,1358
499,3013
500,3007
501,3010
502,3011
503,3012
504,3180
505,1388
506,3567
507,3634
508,3410
509,3535
510,3534
511,2977
512,2336
513,3505
514,3386
515,1970
516,3365
517,2121
518,2123
519,2122
520,155
521,3402
522,3063
523,841
524,3486
525,3290
526,1989
527,1622
528,3307
529,3361
530,2744
531,2112
532,2438
533,921
534,2674
535,3342
536,1577
537,1269
538,3415
539,3046
540,3156
541,109
542,3178
543,2694
544,3627
545,1266
546,3366
547,2416
